"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","min_tupy","max_tupy","min_ostry","max_ostry","export_dwh"
"CS","INTERVAL",7700,"400000433000000","<0; 3 000>","0 až 3 000 (více nebo rovno 0 a méně nebo rovno 3 000)","1900-01-01","9999-09-09",,,0,3000,
"CS","INTERVAL",7700,"400000600000103","<0,0; 0,3)","0,0 až 0,3 (více nebo rovno 0,0 a méně než 0,3)","1900-01-01","9999-09-09",,0.3,0,,
"CS","INTERVAL",7700,"400000600000105","<0,0; 0,5)","0,0 až 0,5 (více nebo rovno 0,0 a méně než 0,5)","1900-01-01","9999-09-09",,0.5,0,,
"CS","INTERVAL",7700,"400000600000115","<0,1; 0,5)","0,1 až 0,5 (více nebo rovno 0,1 a méně než 0,5)","1900-01-01","9999-09-09",,0.5,0.1,,
"CS","INTERVAL",7700,"400000600000135","<0,3; 0,5)","0,3 až 0,5 (více nebo rovno 0,3 a méně než 0,5)","1900-01-01","9999-09-09",,0.5,0.3,,
"CS","INTERVAL",7700,"400000600001000","<0; 1)","0 až 1 (více nebo rovno 0 a méně než 1)","1900-01-01","9999-09-09",,1,0,,"A"
"CS","INTERVAL",7700,"400000600001105","<0,0; 1,5)","0,0 až 1,5 (více nebo rovno 0,0 a méně než 1,5)","1900-01-01","9999-09-09",,1.5,0,,
"CS","INTERVAL",7700,"400000600001110","<0,1; 1,0)","0,1 až 1,0 (více nebo rovno 0,1 a méně než 1,0)","1900-01-01","9999-09-09",,1,0.1,,
"CS","INTERVAL",7700,"400000600001150","<0,5; 1,0)","0,5 až 1,0 (více nebo rovno 0,5 a méně než 1,0)","1900-01-01","9999-09-09",,1,0.5,,
"CS","INTERVAL",7700,"400000600001275","<0,75; 1,00)","0,75 až 1,00 (více nebo rovno 0,75 a méně než 1,00)","1900-01-01","9999-09-09",,1,0.75,,
"CS","INTERVAL",7700,"400000600002000","<0; 2)","0 až 2 (více nebo rovno 0 a méně než 2)","1900-01-01","9999-09-09",,2,0,,
"CS","INTERVAL",7700,"400000600003000","<0; 3)","0 až 3 (více nebo rovno 0 a méně než 3)","1900-01-01","9999-09-09",,3,0,,
"CS","INTERVAL",7700,"400000600004000","<0; 4)","0 až 4 (více nebo rovno 0 a méně než 4)","1900-01-01","9999-09-09",,4,0,,
"CS","INTERVAL",7700,"400000600004155","<0,5; 4,5)","0,5 až 4,5 (více nebo rovno 0,5 a méně než 4,5)","1900-01-01","9999-09-09",,4.5,0.5,,
"CS","INTERVAL",7700,"400000600005000","<0; 5)","0 až 5 (více nebo rovno 0 a méně než 5)","1900-01-01","9999-09-09",,5,0,,
"CS","INTERVAL",7700,"400000600006000","<0; 6)","0 až 6 (více nebo rovno 0 a méně než 6)","1900-01-01","9999-09-09",,6,0,,
"CS","INTERVAL",7700,"400000600007000","<0; 7)","0 až 7 (více nebo rovno 0 a méně než 7)","1900-01-01","9999-09-09",,7,0,,
"CS","INTERVAL",7700,"400000600008000","<0; 8)","0 až 8 (více nebo rovno 0 a méně než 8)","1900-01-01","9999-09-09",,8,0,,
"CS","INTERVAL",7700,"400000610010000","<0; 10)","0 až 10 (více nebo rovno 0 a méně než 10)","1900-01-01","9999-09-09",,10,0,,
"CS","INTERVAL",7700,"400000610010110","<0,1; 10,0)","0,1 až 10,0 (více nebo rovno 0,1 a méně než 10,0)","1900-01-01","9999-09-09",,10,0.1,,
"CS","INTERVAL",7700,"400000610015000","<0; 15)","0 až 15 (více nebo rovno 0 a méně než 15)","1900-01-01","9999-09-09",,15,0,,
"CS","INTERVAL",7700,"400000610016000","<0; 16)","0 až 16 (více nebo rovno 0 a méně než 16)","1900-01-01","9999-09-09",,16,0,,
"CS","INTERVAL",7700,"400000610017000","<0; 17)","0 až 17 (více nebo rovno 0 a méně než 17)","1900-01-01","9999-09-09",,17,0,,
"CS","INTERVAL",7700,"400000610018000","<0; 18)","0 až 18 (více nebo rovno 0 a méně než 18)","1900-01-01","9999-09-09",,18,0,,
"CS","INTERVAL",7700,"400000610019000","<0; 19)","0 až 19 (více nebo rovno 0 a méně než 19)","1900-01-01","9999-09-09",,19,0,,
"CS","INTERVAL",7700,"400000610020000","<0; 20)","0 až 20 (více nebo rovno 0 a méně než 20)","1900-01-01","9999-09-09",,20,0,,
"CS","INTERVAL",7700,"400000610025000","<0; 25)","0 až 25 (více nebo rovno 0 a méně než 25)","1900-01-01","9999-09-09",,25,0,,
"CS","INTERVAL",7700,"400000610026000","<0; 26)","0 až 26 (více nebo rovno 0 a méně než 26)","1900-01-01","9999-09-09",,26,0,,
"CS","INTERVAL",7700,"400000610028000","<0; 28)","0 až 28 (více nebo rovno 0 a méně než 28)","1900-01-01","9999-09-09",,28,0,,
"CS","INTERVAL",7700,"400000610050000","<0; 50)","0 až 50 (více nebo rovno 0 a méně než 50)","1900-01-01","9999-09-09",,50,0,,
"CS","INTERVAL",7700,"400000610065000","<0; 65)","0 až 65 (více nebo rovno 0 a méně než 65)","1900-01-01","9999-09-09",,65,0,,
"CS","INTERVAL",7700,"400000620200000","<0; 200)","0 až 200 (více nebo rovno 0 a méně než 200)","1900-01-01","9999-09-09",,200,0,,
"CS","INTERVAL",7700,"400000620250000","<0; 250)","0 až 250 (více nebo rovno 0 a méně než 250)","1900-01-01","9999-09-09",,250,0,,
"CS","INTERVAL",7700,"400000620400000","<0; 400)","0 až 400 (více nebo rovno 0 a méně než 400)","1900-01-01","9999-09-09",,400,0,,
"CS","INTERVAL",7700,"400000620600000","<0; 600)","0 až 600 (více nebo rovno 0 a méně než 600)","1900-01-01","9999-09-09",,600,0,,
"CS","INTERVAL",7700,"400000631000000","<0; 1 000)","0 až 1 000 (více nebo rovno 0 a méně než 1 000)","1900-01-01","9999-09-09",,1000,0,,
"CS","INTERVAL",7700,"400000633000000","<0; 3 000)","0 až 3 000 (více nebo rovno 0 a méně než 3 000)","1900-01-01","9999-09-09",,3000,0,,
"CS","INTERVAL",7700,"400000651000000","<0; 100 000)","0 až 100 000 (více nebo rovno 0 a méně než 100 000)","1900-01-01","9999-09-09",,100000,0,,
"CS","INTERVAL",7700,"400001400001000","<1; 1>","1","1900-01-01","9999-09-09",,,1,1,
"CS","INTERVAL",7700,"400001400001105","<1,5; 1,5>","1,5","1900-01-01","9999-09-09",,,1.5,1.5,
"CS","INTERVAL",7700,"400001400004000","<1; 4>","1 až 4 (více nebo rovno 1 a méně nebo rovno 4)","1900-01-01","9999-09-09",,,1,4,
"CS","INTERVAL",7700,"400001400005000","<1; 5>","1 až 5 (více nebo rovno 1 a méně nebo rovno 5)","1900-01-01","9999-09-09",,,1,5,
"CS","INTERVAL",7700,"400001400007000","<1; 7>","1 až 7 (více nebo rovno 1 a méně nebo rovno 7)","1900-01-01","9999-09-09",,,1,7,
"CS","INTERVAL",7700,"400001600001105","<1,0; 1,5)","1,0 až 1,5 (více nebo rovno 1,0 a méně než 1,5)","1900-01-01","9999-09-09",,1.5,1,,
"CS","INTERVAL",7700,"400001600001225","<1,00; 1,25)","1,00 až 1,25 (více nebo rovno 1,00 a méně než 1,25)","1900-01-01","9999-09-09",,1.25,1,,
"CS","INTERVAL",7700,"400001600001250","<1,25; 1,50)","1,25 až 1,50 (více nebo rovno 1,25 a méně než 1,50)","1900-01-01","9999-09-09",,1.5,1.25,,
"CS","INTERVAL",7700,"400001600002000","<1; 2)","1 až 2 (více nebo rovno 1 a méně než 2)","1900-01-01","9999-09-09",,2,1,,
"CS","INTERVAL",7700,"400001600002150","<1,5; 2,0)","1,5 až 2,0 (více nebo rovno 1,5 a méně než 2,0)","1900-01-01","9999-09-09",,2,1.5,,
"CS","INTERVAL",7700,"400001600002251","<1,51; 2,00)","1,51 až 2,00 (více nebo rovno 1,51 a méně než 2,00)","1900-01-01","9999-09-09",,2,1.51,,
"CS","INTERVAL",7700,"400001600003000","<1; 3)","1 až 3 (více nebo rovno 1 a méně než 3)","1900-01-01","9999-09-09",,3,1,,
"CS","INTERVAL",7700,"400001600004000","<1; 4)","1 až 4 (více nebo rovno 1 a méně než 4)","1900-01-01","9999-09-09",,4,1,,
"CS","INTERVAL",7700,"400001600005000","<1; 5)","1 až 5 (více nebo rovno 1 a méně než 5)","1900-01-01","9999-09-09",,5,1,,
"CS","INTERVAL",7700,"400001600006000","<1; 6)","1 až 6 (více nebo rovno 1 a méně než 6)","1900-01-01","9999-09-09",,6,1,,"A"
"CS","INTERVAL",7700,"400001610010000","<1; 10)","1 až 10 (více nebo rovno 1 a méně než 10)","1900-01-01","9999-09-09",,10,1,,
"CS","INTERVAL",7700,"400001610015000","<1; 15)","1 až 15 (více nebo rovno 1 a méně než 15)","1900-01-01","9999-09-09",,15,1,,
"CS","INTERVAL",7700,"400001610020000","<1; 20)","1 až 20 (více nebo rovno 1 a méně než 20)","1900-01-01","9999-09-09",,20,1,,"A"
"CS","INTERVAL",7700,"400001610050000","<1; 50)","1 až 50 (více nebo rovno 1 a méně než 50)","1900-01-01","9999-09-09",,50,1,,
"CS","INTERVAL",7700,"400001620100000","<1; 100)","1 až 100 (více nebo rovno 1 a méně než 100)","1900-01-01","9999-09-09",,100,1,,
"CS","INTERVAL",7700,"400001799999000","<1; N)","Od 1 (více nebo rovno 1)","1900-01-01","9999-09-09",,99999999999999999999,1,,
"CS","INTERVAL",7700,"400002400002000","<2; 2>","2","1900-01-01","9999-09-09",,,2,2,
"CS","INTERVAL",7700,"400002400002105","<2,5; 2,5>","2,5","1900-01-01","9999-09-09",,,2.5,2.5,
"CS","INTERVAL",7700,"400002400003000","<2; 3>","2 až 3 (více nebo rovno 2 a méně nebo rovno 3)","1900-01-01","9999-09-09",,,2,3,
"CS","INTERVAL",7700,"400002600002105","<2,0; 2,5)","2,0 až 2,5 (více nebo rovno 2,0 a méně než 2,5)","1900-01-01","9999-09-09",,2.5,2,,
"CS","INTERVAL",7700,"400002600003000","<2; 3)","2 až 3 (více nebo rovno 2 a méně než 3)","1900-01-01","9999-09-09",,3,2,,
"CS","INTERVAL",7700,"400002600003150","<2,5; 3,0)","2,5 až 3,0 (více nebo rovno 2,5 a méně než 3,0)","1900-01-01","9999-09-09",,3,2.5,,
"CS","INTERVAL",7700,"400002600004000","<2; 4)","2 až 4 (více nebo rovno 2 a méně než 4)","1900-01-01","9999-09-09",,4,2,,
"CS","INTERVAL",7700,"400002600005000","<2; 5)","2 až 5 (více nebo rovno 2 a méně než 5)","1900-01-01","9999-09-09",,5,2,,
"CS","INTERVAL",7700,"400002600008000","<2; 8)","2 až 8 (více nebo rovno 2 a méně než 8)","1900-01-01","9999-09-09",,8,2,,
"CS","INTERVAL",7700,"400002610010000","<2; 10)","2 až 10 (více nebo rovno 2 a méně než 10)","1900-01-01","9999-09-09",,10,2,,
"CS","INTERVAL",7700,"400002799999000","<2; N)","Od 2 (více nebo rovno 2)","1900-01-01","9999-09-09",,99999999999999999999,2,,
"CS","INTERVAL",7700,"400003400003000","<3; 3>","3","1900-01-01","9999-09-09",,,3,3,
"CS","INTERVAL",7700,"400003400003105","<3,5; 3,5>","3,5","1900-01-01","9999-09-09",,,3.5,3.5,
"CS","INTERVAL",7700,"400003600003105","<3,0; 3,5)","3,0 až 3,5 (více nebo rovno 3,0 a méně než 3,5)","1900-01-01","9999-09-09",,3.5,3,,
"CS","INTERVAL",7700,"400003600004000","<3; 4)","3 až 4 (více nebo rovno 3 a méně než 4)","1900-01-01","9999-09-09",,4,3,,
"CS","INTERVAL",7700,"400003600004150","<3,5; 4,0)","3,5 až 4,0 (více nebo rovno 3,5 a méně než 4,0)","1900-01-01","9999-09-09",,4,3.5,,
"CS","INTERVAL",7700,"400003600005000","<3; 5)","3 až 5 (více nebo rovno 3 a méně než 5)","1900-01-01","9999-09-09",,5,3,,
"CS","INTERVAL",7700,"400003600006000","<3; 6)","3 až 6 (více nebo rovno 3 a méně než 6)","1900-01-01","9999-09-09",,6,3,,
"CS","INTERVAL",7700,"400003799999000","<3; N)","Od 3 (více nebo rovno 3)","1900-01-01","9999-09-09",,99999999999999999999,3,,
"CS","INTERVAL",7700,"400004400004000","<4; 4>","4","1900-01-01","9999-09-09",,,4,4,
"CS","INTERVAL",7700,"400004400005000","<4; 5>","4 až 5 (více nebo rovno 4 a méně nebo rovno 5)","1900-01-01","9999-09-09",,,4,5,
"CS","INTERVAL",7700,"400004410011000","<4; 11>","4 až 11 (více nebo rovno 4 a méně nebo rovno 11)","1900-01-01","9999-09-09",,,4,11,
"CS","INTERVAL",7700,"400004420310000","<4; 310>","4 až 310 (více nebo rovno 4 a méně nebo rovno 310)","1900-01-01","9999-09-09",,,4,310,
"CS","INTERVAL",7700,"400004600004105","<4,0; 4,5)","4,0 až 4,5 (více nebo rovno 4,0 a méně než 4,5)","1900-01-01","9999-09-09",,4.5,4,,
"CS","INTERVAL",7700,"400004600005000","<4; 5)","4 až 5 (více nebo rovno 4 a méně než 5)","1900-01-01","9999-09-09",,5,4,,
"CS","INTERVAL",7700,"400004600005150","<4,5; 5,0)","4,5 až 5,0 (více nebo rovno 4,5 a méně než 5,0)","1900-01-01","9999-09-09",,5,4.5,,
"CS","INTERVAL",7700,"400004600006000","<4; 6)","4 až 6 (více nebo rovno 4 a méně než 6)","1900-01-01","9999-09-09",,6,4,,
"CS","INTERVAL",7700,"400004600007000","<4; 7)","4 až 7 (více nebo rovno 4 a méně než 7)","1900-01-01","9999-09-09",,7,4,,
"CS","INTERVAL",7700,"400004600008000","<4; 8)","4 až 8 (více nebo rovno 4 a méně než 8)","1900-01-01","9999-09-09",,8,4,,
"CS","INTERVAL",7700,"400004600009155","<4,5;9,5)","4,5 až 9,5 (více nebo rovno 4,5 a méně než 9,5)","1900-01-01","9999-09-09",,9.5,4.5,,
"CS","INTERVAL",7700,"400004610024000","<4; 24)","4 až 24 (více nebo rovno 4 a méně než 24)","1900-01-01","9999-09-09",,24,4,,
"CS","INTERVAL",7700,"400004799999000","<4; N)","Od 4 (více nebo rovno 4)","1900-01-01","9999-09-09",,99999999999999999999,4,,
"CS","INTERVAL",7700,"400005400005000","<5; 5>","5","1900-01-01","9999-09-09",,,5,5,
"CS","INTERVAL",7700,"400005410010000","<5; 10>","5 až 10 (více nebo rovno 5 a méně nebo rovno 10)","1900-01-01","9999-09-09",,,5,10,
"CS","INTERVAL",7700,"400005600006000","<5; 6)","5 až 6 (více nebo rovno 5 a méně než 6)","1900-01-01","9999-09-09",,6,5,,
"CS","INTERVAL",7700,"400005600007000","<5; 7)","5 až 7 (více nebo rovno 5 a méně než 7)","1900-01-01","9999-09-09",,7,5,,
"CS","INTERVAL",7700,"400005600008000","<5; 8)","5 až 8 (více nebo rovno 5 a méně než 8)","1900-01-01","9999-09-09",,8,5,,
"CS","INTERVAL",7700,"400005610010000","<5; 10)","5 až 10 (více nebo rovno 5 a méně než 10)","1900-01-01","9999-09-09",,10,5,,
"CS","INTERVAL",7700,"400005610015000","<5; 15)","5 až 15 (více nebo rovno 5 a méně než 15)","1900-01-01","9999-09-09",,15,5,,
"CS","INTERVAL",7700,"400005610020000","<5; 20)","5 až 20 (více nebo rovno 5 a méně než 20)","1900-01-01","9999-09-09",,20,5,,
"CS","INTERVAL",7700,"400005799999000","<5; N)","Od 5 (více nebo rovno 5)","1900-01-01","9999-09-09",,99999999999999999999,5,,
"CS","INTERVAL",7700,"400006400006000","<6; 6>","6","1900-01-01","9999-09-09",,,6,6,
"CS","INTERVAL",7700,"400006400008000","<6; 8>","6 až 8 (více nebo rovno 6 a méně nebo rovno 8)","1900-01-01","9999-09-09",,,6,8,
"CS","INTERVAL",7700,"400006400009000","<6; 9>","6 až 9 (více nebo rovno 6 a méně nebo rovno 9)","1900-01-01","9999-09-09",,,6,9,
"CS","INTERVAL",7700,"400006600007000","<6; 7)","6 až 7 (více nebo rovno 6 a méně než 7)","1900-01-01","9999-09-09",,7,6,,
"CS","INTERVAL",7700,"400006600008000","<6; 8)","6 až 8 (více nebo rovno 6 a méně než 8)","1900-01-01","9999-09-09",,8,6,,
